"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Apr 11 15:58:01 EEST 2022","Mon Apr 11 15:58:01 EEST 2022","0","","api request from wdio ","","api request from wdio ","Delete all messages","Delete all messages",""
"passed","Sat Apr 09 19:14:05 EEST 2022","Sat Apr 09 19:14:05 EEST 2022","356","","api request from wdio ","","api request from wdio ","check Email","check Email",""
"skipped","Mon Apr 11 15:58:00 EEST 2022","Mon Apr 11 15:58:00 EEST 2022","0","","api request from wdio ","","api request from wdio ","Me","Me",""
"skipped","Mon Apr 11 15:58:00 EEST 2022","Mon Apr 11 15:58:00 EEST 2022","0","","api request from wdio ","","api request from wdio ","check Email","check Email",""
"broken","Sat Apr 09 19:14:07 EEST 2022","Sat Apr 09 19:14:07 EEST 2022","285","","api request from wdio ","","api request from wdio ","Delete all messages","Delete all messages",""
"passed","Mon Apr 11 15:58:00 EEST 2022","Mon Apr 11 15:58:01 EEST 2022","425","","api request from wdio ","","api request from wdio ","Validate up to 50 email addresses","Validate up to 50 email addresses",""
"passed","Sat Apr 09 19:14:05 EEST 2022","Sat Apr 09 19:14:06 EEST 2022","617","","api request from wdio ","","api request from wdio ","Me","Me",""
